b,fold,h,zero_frac,base,+thermal,+holiday,hol_n,+both
Bobcat_other_Howard,fold3,12,0.001388888888888889,0.7236351833425009,0.7377475411830572,0.734487915181224,0,0.7348022550937562
Bobcat_other_Howard,fold3,18,0.001388888888888889,0.7386534095912595,0.7405409312063937,0.7417740777961034,0,0.7313727021407569
Bobcat_other_Howard,fold3,24,0.001388888888888889,0.7195544916177281,0.7233830280075151,0.731800873671045,0,0.7284447625025119
Bull_assembly_Brandon,fold0,1,0.001388888888888889,0.37385409773495015,0.39525776983006333,0.38065345091291575,48,0.3804216376363266
Bull_assembly_Brandon,fold0,6,0.001388888888888889,0.3764255776301446,0.37866487587324565,0.3840273868509763,48,0.38191856088249526
Bull_assembly_Brandon,fold0,12,0.001388888888888889,0.3890030408694261,0.3855940817062587,0.393136180901793,48,0.3924387123016809
Bull_assembly_Brandon,fold0,18,0.001388888888888889,0.3745343953531433,0.3841938101174237,0.3834075436309506,48,0.38235427509468756
Bull_assembly_Brandon,fold0,24,0.001388888888888889,0.3980484359090476,0.4005605807247292,0.3976959429303858,48,0.39962632665907155
Bull_assembly_Brandon,fold1,1,0.0,0.3946993702772259,0.3771484527307849,0.380057433654169,24,0.37037444543630443
Bull_assembly_Brandon,fold1,6,0.0,0.42696943926605146,0.424315836200228,0.43248050525277265,24,0.42617623741468175
Bull_assembly_Brandon,fold1,12,0.0,0.4418012115587576,0.438716079036836,0.43870640336939276,24,0.4281930718471522
Bull_assembly_Brandon,fold1,18,0.0,0.4465505435398594,0.44736619395092575,0.44491712632016944,24,0.4454932216790898
Bull_assembly_Brandon,fold1,24,0.0,0.46296604933133445,0.456759339999559,0.45564500863979723,24,0.45579313110542596
Bull_assembly_Brandon,fold2,1,0.0,0.48070071998118485,0.48731552311153375,0.47598118283068724,0,0.4915376428666623
Bull_assembly_Brandon,fold2,6,0.0,0.5906773451040815,0.5519112549142035,0.5616501635746097,0,0.611206902625076
Bull_assembly_Brandon,fold2,12,0.0,0.6541052883634142,0.6429975922122794,0.6408467017670454,0,0.6254142109261401
Bull_assembly_Brandon,fold2,18,0.0,0.6993558676649259,0.6917061501520221,0.7023077119791064,0,0.6882042439774672
Bull_assembly_Brandon,fold2,24,0.0,0.847816270668708,0.7834511207150884,0.7811742596018217,0,0.7776297866416618
Bull_assembly_Brandon,fold3,1,0.0,0.4682070581595442,0.47786528212802787,0.4522880708487543,0,0.4634152594745057
Bull_assembly_Brandon,fold3,6,0.0,0.5995647835462413,0.5833853935971278,0.633502085532959,0,0.5914022112924084
Bull_assembly_Brandon,fold3,12,0.0,0.6464894414530443,0.6458155669172982,0.6333574417844163,0,0.6541715825470302
Bull_assembly_Brandon,fold3,18,0.0,0.6380835994477486,0.6823416708307607,0.684883004777094,0,0.6644788801711317
Bull_assembly_Brandon,fold3,24,0.0,0.7020730959421534,0.708855153137398,0.6668522327334369,0,0.6516296654881916
Bull_education_Linnie,fold0,1,0.0,0.2587831235389534,0.2600569053248289,0.26243399749592894,48,0.2595766724757552
Bull_education_Linnie,fold0,6,0.0,0.3733382437648905,0.3637546268242976,0.373731350338831,48,0.3654484109150561
Bull_education_Linnie,fold0,12,0.0,0.3957791446547023,0.3717281416934201,0.3748980613466639,48,0.36745365358239857
Bull_education_Linnie,fold0,18,0.0,0.34453168062265543,0.38044278483022514,0.350917130868211,48,0.3477234961536686
Bull_education_Linnie,fold0,24,0.0,0.3700181358785968,0.3648117795960913,0.35977043116023133,48,0.3614621005213824
Bull_education_Linnie,fold1,1,0.0,0.19575552297794377,0.19258502236729036,0.19721389038189935,24,0.19529783652534682
Bull_education_Linnie,fold1,6,0.0,0.2314610275269732,0.24369370113603353,0.24557193830816665,24,0.24515508362570332
Bull_education_Linnie,fold1,12,0.0,0.24947255155566375,0.26215164522602297,0.2484194254447621,24,0.27153839681480857
Bull_education_Linnie,fold1,18,0.0,0.24424766224978564,0.2561152185607927,0.2328721180528939,24,0.2457308834036074
Bull_education_Linnie,fold1,24,0.0,0.26528667327941796,0.26600222660511136,0.2609009629879454,24,0.2570571468239847
Bull_education_Linnie,fold2,1,0.0,0.19136696695396152,0.1936058837245388,0.1954904208445804,0,0.19970395882783062
Bull_education_Linnie,fold2,6,0.0,0.2804992936196664,0.2794932388228719,0.29995892903691845,0,0.2800907274264965
Bull_education_Linnie,fold2,12,0.0,0.28608690568670797,0.2932856329150034,0.28739544307682213,0,0.3030359671054815
Bull_education_Linnie,fold2,18,0.0,0.29918106886715384,0.2994774020177292,0.2881453268841161,0,0.2950477891342749
Bull_education_Linnie,fold2,24,0.0,0.3303225960354369,0.33954938194947826,0.3334186289075664,0,0.33380241924931037
Bull_education_Linnie,fold3,1,0.0,0.19065651693308885,0.1892787430003183,0.1963605522070735,0,0.18263862184084712
Bull_education_Linnie,fold3,6,0.0,0.20881868050748037,0.20512298813541777,0.21112683911094537,0,0.20459056555194188
Bull_education_Linnie,fold3,12,0.0,0.23883847898763813,0.24153736638088927,0.23183090137352358,0,0.23988923275539512
Bull_education_Linnie,fold3,18,0.0,0.24323208798374796,0.2503784564814955,0.24841817440372965,0,0.24649642719016895
Bull_education_Linnie,fold3,24,0.0,0.24103510317456014,0.248954277315527,0.24257073623041886,0,0.23587367115326344
Cockatoo_lodging_Aimee,fold0,1,0.018055555555555554,0.7982515768370042,0.7889867892296692,0.7933534597739578,48,0.7758025853163014
Cockatoo_lodging_Aimee,fold0,6,0.018055555555555554,0.8759781550865474,0.8517603296034435,0.9027740029378163,48,0.8447368561180478
Cockatoo_lodging_Aimee,fold0,12,0.018055555555555554,0.9571247197739087,0.9117120992635303,0.9743701124652229,48,0.9623421729864777
Cockatoo_lodging_Aimee,fold0,18,0.018055555555555554,0.8819728669300257,0.8417167074594192,0.8435086915519019,48,0.8717313023359782
Cockatoo_lodging_Aimee,fold0,24,0.018055555555555554,0.8423931038757932,0.8218709272640661,0.8490341123256127,48,0.8620995296531936
Cockatoo_lodging_Aimee,fold1,1,0.027777777777777776,0.9487100203543132,0.9671799511750236,0.9385071363637049,24,0.979795629726735
Cockatoo_lodging_Aimee,fold1,6,0.027777777777777776,1.2621561383411033,1.2906464960543993,1.2790926599451038,24,1.2995032389307197
Cockatoo_lodging_Aimee,fold1,12,0.027777777777777776,1.2381691486273618,1.2914114053700292,1.2993798176172113,24,1.2877735322371244
Cockatoo_lodging_Aimee,fold1,18,0.027777777777777776,1.1607634159621545,1.1597050502115076,1.2265871456748647,24,1.1574587600480142
Cockatoo_lodging_Aimee,fold1,24,0.027777777777777776,1.1328790336286891,1.1737777263723004,1.1559753438711113,24,1.1806470559546989
Cockatoo_lodging_Aimee,fold2,1,0.02638888888888889,0.5600579263565042,0.5614580088066026,0.5595608554114121,0,0.5480877291831456
Cockatoo_lodging_Aimee,fold2,6,0.02638888888888889,0.6076582408855812,0.6056200784195044,0.6132927388163971,0,0.6420854700284513
Cockatoo_lodging_Aimee,fold2,12,0.02638888888888889,0.6869398726803855,0.6637981900681426,0.6574542772415691,0,0.6494243814348093
Cockatoo_lodging_Aimee,fold2,18,0.02638888888888889,0.7386797893437587,0.6623597424143018,0.7255498613627258,0,0.6775641483714068
Cockatoo_lodging_Aimee,fold2,24,0.02638888888888889,0.7461803979114427,0.7649359692702514,0.8109934046526165,0,0.8394740226102247
Cockatoo_lodging_Aimee,fold3,1,0.005555555555555556,0.4856517967649173,0.4863464385549086,0.4845637198349981,0,0.49039562433296724
Cockatoo_lodging_Aimee,fold3,6,0.005555555555555556,0.6187088666445731,0.6130639822798366,0.5851620305047052,0,0.617669694348859
Cockatoo_lodging_Aimee,fold3,12,0.005555555555555556,0.6254435112057722,0.613177661666531,0.6174893272285991,0,0.5994808437719903
Cockatoo_lodging_Aimee,fold3,18,0.005555555555555556,0.6090012052759499,0.6238205182034144,0.5965114574395504,0,0.5868160451914863
Cockatoo_lodging_Aimee,fold3,24,0.005555555555555556,0.5699335919254135,0.5647945533871083,0.54724177792038,0,0.5562629930337168
Eagle_education_Raul,fold0,1,0.0125,0.38659188498780717,0.401452066275554,0.3935387589722503,48,0.3955779336563945
Eagle_education_Raul,fold0,6,0.0125,0.559102434777402,0.5675991923438038,0.5612140860511325,48,0.5642147867050253
Eagle_education_Raul,fold0,12,0.0125,0.6002386656557565,0.6031383309631327,0.6116410516859014,48,0.5978614624055587
Eagle_education_Raul,fold0,18,0.0125,0.6129775033004434,0.6215381044198666,0.6273447757078707,48,0.6275597451625895
Eagle_education_Raul,fold0,24,0.0125,0.655808754346997,0.6350156113721173,0.670804557558678,48,0.664016134992842
Eagle_education_Raul,fold1,1,0.005555555555555556,0.2982894786049662,0.3011825496282629,0.30236277265108386,24,0.2984564372172816
Eagle_education_Raul,fold1,6,0.005555555555555556,0.49669590431695854,0.4971175058837892,0.4897707479745896,24,0.4983264906970041
Eagle_education_Raul,fold1,12,0.005555555555555556,0.5276869556477667,0.5358982409830829,0.5392194515232829,24,0.5403261567987513
Eagle_education_Raul,fold1,18,0.005555555555555556,0.5316147554197466,0.5443225646575864,0.5442447650738315,24,0.5352767747884345
Eagle_education_Raul,fold1,24,0.005555555555555556,0.5346982085184819,0.5361435241464293,0.5298791949870685,24,0.5256100851482454
Eagle_education_Raul,fold2,1,0.004166666666666667,0.24524855114760077,0.24473074775018705,0.24611279157331786,0,0.24792124937290225
Eagle_education_Raul,fold2,6,0.004166666666666667,0.3638528973558783,0.391380388949973,0.3799796163591152,0,0.39666734762829137
Eagle_education_Raul,fold2,12,0.004166666666666667,0.4431534475425186,0.4402618365557441,0.43500869851840934,0,0.44231575922266425
Eagle_education_Raul,fold2,18,0.004166666666666667,0.43755297903933393,0.4306950483878445,0.42370483081904264,0,0.42477300669544316
Eagle_education_Raul,fold2,24,0.004166666666666667,0.4718027329551535,0.4666264275038915,0.4399895799551097,0,0.4719796420817199
Eagle_education_Raul,fold3,1,0.018055555555555554,0.23353869193032314,0.23245393150351773,0.22673364084446107,0,0.2324818151751245
Eagle_education_Raul,fold3,6,0.018055555555555554,0.3741612589160559,0.38060434751422495,0.37853514197481253,0,0.3810760473299671
Eagle_education_Raul,fold3,12,0.018055555555555554,0.506650110429871,0.5047045520955596,0.4940656638939846,0,0.5051423773648912
Eagle_education_Raul,fold3,18,0.018055555555555554,0.5134727032397459,0.5231884439220278,0.5107544438800797,0,0.50819366515968
Eagle_education_Raul,fold3,24,0.018055555555555554,0.5517033377872118,0.5504892071402915,0.5575538505285352,0,0.5556668279430522
Eagle_health_Vincenza,fold0,1,0.5513888888888889,0.340647430351037,0.3759168447360587,0.3365122047415015,48,0.363152651372026
Eagle_health_Vincenza,fold0,6,0.5513888888888889,0.5731164787452968,0.5957194714208965,0.6068393309079427,48,0.5915111068180299
Eagle_health_Vincenza,fold0,12,0.5513888888888889,0.6114879246363061,0.6117666596758082,0.6061254922356489,48,0.5864320181031061
Eagle_health_Vincenza,fold0,18,0.5513888888888889,0.5834917869300749,0.5953300616371592,0.5842846435687871,48,0.5899909151994474
Eagle_health_Vincenza,fold0,24,0.5513888888888889,0.7003302973534107,0.697352286051398,0.6781391981947291,48,0.6842937187777128
Eagle_health_Vincenza,fold1,1,0.42777777777777776,0.31821036868071906,0.33446241507188984,0.3233623041422393,24,0.33409763432215495
Eagle_health_Vincenza,fold1,6,0.42777777777777776,0.5328661368998759,0.5316995223512389,0.529591159841727,24,0.5238067044828653
